# id	left	top	right	bottom	texture_id
[SPRITES]
#human explode
30001	236	518	259	542	50
30002	261	514	289	542	50
30003	293	510	324	542	50

#infrastructure explode
30101	159	513	188	542	50
30202	192	515	215	542	50
30303	219	525	234	542	50

#gun explode
30401	234	485	243	492	50

#normal gun
30501	249	502	252	505	50

#infrastructure gun
30501	255	502	258	505	50

#S gun
30501	247	485	254	492	50
30501	258	487	263	492	50
30501	266	487	271	492	50

#F gun
30101	238	497	245	504	50

#weapon ship
30101	76	146	99	159	50

#weapom
30101	102	144	125	159	50
30101	129	144	152	159	50
30101	156	144	179	159	50
30101	183	144	206	159	50
30101	210	144	233	159	50
30101	237	144	260	159	50
30101	156	144	179	159	50

#life 
30101	284	267	291	282	50

#pile
30101	248	236	271	247	50
30101	276	240	291	247	50
30101	295	244	304	247	50

# boos 3th
30101	214	267	229	282	50
30101	233	267	248	282	50

#fire
30101	252	267	267	282	50

#rope
30101	177	240	192	247	50

30101	193	240	206	247	50
30102	214	240	227	247	50
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
3001	30001	150	30002	150	30003	150
3001	30103	100	30102	100	30101	100	30102	100	30103	100
